Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views,price,market_cap,volume
2024-10-02,XRP,2958,345,400,321396,0.8595420116227179,0.8445081105217391,0.8405202605195149,0.062431062443881,0.0634821220927536,0.0636227563417124,0.0780269160179175,0.0920097453942029,0.0958569872159049,0.5974675047314544,33843017507.639935,3132237056.7574463
2024-10-03,BITCOIN,1569,190,260,198237,0.5730001112976418,0.6038270236842106,0.6545837744989986,0.2769792955363289,0.2698685007105262,0.2041888067514616,0.1500205866312938,0.1263044702157894,0.1412274215504976,60655.55979196848,1198652098493.4897,41870731291.86736
2024-10-03,DOGE,9062,1809,1597,4178913,0.9086990132822776,0.9039367309585408,0.9068441767815696,0.0479277234473074,0.0642756772484798,0.0653034195621795,0.0433732782545795,0.0317876255876174,0.0278524403094773,0.10465641885443355,15293474639.765978,949525283.9507754
2024-10-03,ETH,1035,146,212,61528,0.7769036252425121,0.7918933632876713,0.8286598632291314,0.1253169941207729,0.1133157212465753,0.0794560184424164,0.0977793821516908,0.0947909213082191,0.0918841283900663,2365.231040243019,284621591999.18945,20613586399.40693
2024-10-03,MAGA,3486,649,135,142759,0.8535928482696499,0.7984971250077042,0.869236688415063,0.0716272878416523,0.0946068230616332,0.0560584829019256,0.07477984789716,0.1068960506702619,0.0747048029205374,3.0683431657650266,141263850.45503646,4894917.658706778
2024-10-03,NEAR,4095,584,183,302106,0.7313011293965812,0.6632752070976027,0.6231910287542419,0.2231323226440781,0.2902671680351027,0.3368522270575824,0.045566524363492,0.0464576011455479,0.0399567280302062,4.630983657817767,5124416567.672754,478067153.6241014
2024-10-03,PEPE,3870,380,171,156901,0.7138090702015505,0.7690567421052631,0.7570396525054844,0.0839692034237726,0.073771668,0.0704561081294892,0.2022217102093023,0.1571715745,0.1725042264628715,9.239141954705709e-06,3883344046.8593197,2506484129.3857217
2024-10-03,SOLANA,1201,356,496,143560,0.8048402313613655,0.7911533552893257,0.8015963610096546,0.0982661307460449,0.1110063783342696,0.0835308902769573,0.0968936411756869,0.0978402645337078,0.1148727645363123,140.44843275006326,65807677885.54672,3403092048.7701364
2024-10-03,XRP,6867,2174,284,498437,0.875144855001165,0.8971408259843606,0.833323677814189,0.0463706014818698,0.035679733599816,0.0810282602761352,0.0784845433850298,0.0671794412911683,0.0856480620831037,0.5388310673967639,30482283203.95177,2854956361.2907157
2024-10-04,BITCOIN,1823,320,284,116912,0.7707144614893034,0.8129283199999999,0.7493751459082559,0.1301281188480526,0.114630381515625,0.1144196696016234,0.0991574175216675,0.072441292640625,0.1362051924747074,60727.86395169296,1200491237695.5154,37711138441.76231
