Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views
2024-10-05,BITCOIN,5218,718,1105,450938,0.8612919587734764,0.8671432821587745,0.877549171999898,0.071109122302798,0.06680146056406686,0.06384589138628369,0.06759892163990035,0.06605526346796657,0.05860494129145026
2024-10-05,DOGE,3326,653,234,151198,0.8761344980907998,0.8789579086523738,0.8665439567618618,0.06904478710898977,0.0746982109770291,0.06294474717339184,0.054820725885447986,0.0463438921209801,0.07051130835699546
2024-10-05,ETH,655,98,144,56540,0.8818708340763358,0.9062943226530614,0.8910918507847542,0.04922053229923664,0.029990393714285715,0.053514042269030775,0.06890863421221374,0.06371527524489795,0.055394120461673156
2024-10-05,MAGA,8680,1605,881,771965,0.8270670208237327,0.808086663906542,0.8215915549693315,0.0888281718044931,0.11356843849781931,0.10102495579705298,0.08410480866785713,0.07834489727538942,0.07738347643634103
2024-10-05,NEAR,3495,796,245,417340,0.561147209127897,0.4980474186180904,0.5817045525633776,0.3695796352640915,0.43740444264070344,0.3356017250660468,0.06927317196094422,0.06454814595540201,0.08269373896296425
2024-10-05,PEPE,8411,1033,474,360541,0.692685404582095,0.7565653744046467,0.6166663351151463,0.08915359383414576,0.08702921541045498,0.058530421242710254,0.21816096772191182,0.15640539186737656,0.3248032015105605
2024-10-05,SOLANA,823,203,307,83069,0.8110941856986634,0.864848065862069,0.720155818396875,0.048051921793438646,0.027168879906403945,0.056130084160926456,0.14085387404252733,0.1079830312906404,0.2237140785092634
2024-10-05,XRP,1420,291,130,113713,0.8534119627704224,0.8726828774570446,0.8607302567164705,0.06725636484225352,0.05651536153264603,0.0794726214506477,0.07933168472323944,0.07080178221305843,0.05979712705898181
2024-10-06,BITCOIN,5992,802,385,357191,0.880074339560247,0.8826260804114714,0.8601049308480505,0.05448777271144859,0.045120636214463834,0.05690510014072303,0.06543787010914552,0.0722532701820449,0.08298995932006124
2024-10-06,DOGE,2625,246,194,247244,0.873181818063238,0.8888818810162602,0.814091252176708,0.06997742885485715,0.05297699799593496,0.08385062327729287,0.056840755919238095,0.05814109710162601,0.1020580964854961
2024-10-06,ETH,1339,206,225,84534,0.7838803468588499,0.8278637499029128,0.7806859064844678,0.051323813655713216,0.04507683052669903,0.06732022196435163,0.16479584577147127,0.1270594283616505,0.15199388388992002
2024-10-06,MAGA,5487,2461,675,153393,0.9123019542391108,0.9217053307964242,0.9089465928232447,0.04981947247074904,0.04370972673994311,0.05158768282537012,0.037878512976854385,0.03458486805688745,0.03946567356938713
2024-10-06,NEAR,4766,285,238,345878,0.6759192082769618,0.7199291588070176,0.6564400745655116,0.0841329479119807,0.14713987444561402,0.12764163417837504,0.2399478712635334,0.13293097012280702,0.21591830769890252
2024-10-06,PEPE,1889,390,237,99026,0.8484874603811541,0.8548853706923077,0.8767023970521883,0.08433341008496559,0.07334894682051281,0.05358932907274352,0.06717913986712545,0.07176569287692307,0.06970828223931089
2024-10-06,SOLANA,1461,233,378,71254,0.7664816488405203,0.7958426459227467,0.7672490695925842,0.07967194949212869,0.04494489960515022,0.0737796289443961,0.15384641122929502,0.15921247574248923,0.15897131045399554
2024-10-06,XRP,4329,672,358,363122,0.8030104231859552,0.7755939392113095,0.8249140473380021,0.14222443324486025,0.1654148530625,0.11732393952574342,0.054765146432894436,0.05899121202232144,0.05776200453789085
2024-10-07,BITCOIN,3136,619,406,259383,0.7258526978125001,0.7470372724894991,0.706796398659172,0.15931601482764668,0.14596340829079157,0.14735498137169745,0.11483127403762755,0.10699929643295637,0.14584860019655876
2024-10-07,DOGE,4258,612,404,222767,0.8731023395829028,0.895670569866013,0.8618689380157654,0.06822164505331141,0.043563742673202614,0.08319716320826244,0.05867597122217003,0.060765636854575165,0.05493385913699964
2024-10-07,ETH,775,130,174,45618,0.8684320261083872,0.9015441302307693,0.8466392868880266,0.05694607312000001,0.03499979101538461,0.07804423535152791,0.07462189521032259,0.0634560677076923,0.07531647297827614
2024-10-07,MAGA,5365,1285,235,89701,0.9011745218471574,0.9057005916031129,0.8640012621746023,0.05916398185908667,0.06423426664902725,0.08667132010488177,0.0396614671356943,0.030065102633463032,0.04932740718103477
2024-10-07,NEAR,12751,2443,497,1461511,0.3609101486583013,0.30779459484609084,0.1999204026372884,0.5969433712822133,0.6591060756217766,0.7706580806026146,0.04214647013110344,0.03309931691256652,0.029421505535121805
2024-10-07,PEPE,9274,916,338,330176,0.8840452656976494,0.88594358569869,0.8812945618566097,0.037812483934440366,0.03468218238646288,0.039541366433938255,0.0781422580901445,0.0793742351037118,0.07916407225079351
2024-10-07,SOLANA,728,160,299,50914,0.8646145818186813,0.8742026998124999,0.8291875938860432,0.06111151562912088,0.05518167974375,0.0861716590628511,0.07427391861538461,0.0706156232375,0.08464076555297168
2024-10-07,XRP,3847,906,204,298417,0.7880933356875488,0.7844918824503311,0.8231067409719955,0.05323831334416429,0.03946693786368653,0.058583623001707344,0.1586683690332727,0.17604119931346582,0.1183096283897198
2024-10-08,BITCOIN,3363,464,367,251748,0.7106191534210525,0.6947619577499999,0.776852121287915,0.20377201259765088,0.25441689532219824,0.12738085621886092,0.08560886849093072,0.05082119677586207,0.09576704495799371
2024-10-08,DOGE,10360,1771,524,296492,0.4583536942341698,0.36602437090909096,0.6517833195270125,0.022086698453909266,0.01715499624675325,0.031226916078760974,0.5195596297937258,0.6168206680124226,0.3169897679602991
2024-10-08,ETH,1138,157,254,134280,0.7616228438312831,0.8511362486624203,0.7615557717213284,0.17191182339279434,0.07342447633757962,0.18564518451748957,0.06646533802460457,0.0754392889044586,0.052799065063062256
2024-10-08,MAGA,3000,823,230,159676,0.646874798436,0.5940972968383961,0.6309123524276472,0.3064099671553333,0.3621316325844471,0.327303334924422,0.0467152332685,0.04377106407411907,0.041784316923197604
2024-10-08,NEAR,5311,591,419,693045,0.8330372116823573,0.7102023554856175,0.8279659668159558,0.1222313319806063,0.2212411315532995,0.13396977572105562,0.04473146632159669,0.06855651252961084,0.038064271605005445
2024-10-08,PEPE,7624,1069,303,235315,0.7024238105548269,0.5449646925818522,0.7846194014579181,0.03106661029787513,0.03666822363423761,0.029390577544669918,0.2665095797359654,0.41836709639008424,0.185990024141045
2024-10-08,SOLANA,1755,368,318,100198,0.7583045545481483,0.769990997625,0.708325964608016,0.09137478289572651,0.0876502096576087,0.10882101742593163,0.15032063797777778,0.14235876944293477,0.18285299143284295
2024-10-08,XRP,6276,1403,484,738994,0.8537353340646909,0.8523838098774056,0.8315710109623137,0.04970121630839707,0.044561587813613676,0.07113524776966254,0.09656343999171446,0.10305458947754814,0.0972937221912546
2024-10-09,BITCOIN,4664,723,381,394749,0.8042293024794168,0.7869246232019365,0.6949333411278078,0.1133569891432247,0.13912168056085755,0.08773249483116739,0.08241371856260721,0.0739536990857538,0.21733417861814971
2024-10-09,DOGE,2267,358,383,313680,0.8797725906175563,0.8797643659776537,0.9187910159714612,0.03500204810723422,0.035433626214525143,0.03550493229334386,0.0852253685015439,0.08480201321787707,0.04570404643606224
2024-10-09,ETH,726,85,264,62516,0.7964688568663912,0.8417095947058824,0.7835928498796947,0.11113476748622587,0.0577836958117647,0.11228226678283959,0.09239639298898074,0.10050672575294119,0.10412489708234691
2024-10-09,MAGA,4303,652,159,118863,0.8103836446409481,0.8316572238343559,0.8213961784421561,0.14820562601510573,0.1276223364371166,0.12505381611235203,0.04141074224750175,0.040720458478527614,0.05355001343778973
2024-10-09,NEAR,3520,566,367,428800,0.6650002178715908,0.6175088528939929,0.6213732217954455,0.1331333860453125,0.15457143418286218,0.22067064266909397,0.20186641412613637,0.22791972287809187,0.15795615877984612
